,Name,Club,Crossing,Finishing,HeadingAccuracy,Volleys,Dribbling,Curve,BallControl,Acceleration,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Positioning,Vision,Marking
0,L. Messi,FC Barcelona,84,95,70,86,97,93,96,91,95,85,68,72,59,94,94,94,33
1,Cristiano Ronaldo,Juventus,84,94,89,87,88,81,94,89,70,95,95,88,79,93,95,82,28
2,Neymar Jr,Paris Saint-Germain,79,87,62,84,96,88,95,94,84,80,61,81,49,82,89,87,27
3,De Gea,Manchester United,17,13,21,13,18,21,42,57,43,31,67,43,64,12,12,68,15
4,K. De Bruyne,Manchester City,93,82,55,82,86,85,91,78,77,91,63,90,75,91,87,94,68
5,E. Hazard,Chelsea,81,84,61,80,95,83,94,94,94,82,56,83,66,80,87,89,34
6,L. Modrić,Real Madrid,86,72,55,76,90,85,93,80,94,79,68,89,58,82,79,92,60
7,L. Suárez,FC Barcelona,77,93,77,88,87,86,90,86,83,86,69,90,83,85,92,84,62
8,Sergio Ramos,Real Madrid,66,60,91,66,63,74,84,76,66,79,93,84,83,59,60,63,87
9,J. Oblak,Atlético Madrid,13,11,15,13,12,13,16,43,49,22,76,41,78,12,11,70,27
10,R. Lewandowski,FC Bayern München,62,91,85,89,85,77,89,77,78,88,84,78,84,84,91,77,34
11,T. Kroos,Real Madrid,88,76,54,82,81,86,90,64,71,87,30,75,73,92,79,86,72
12,D. Godín,Atlético Madrid,55,42,92,47,53,49,76,68,54,67,91,66,88,43,48,52,90
13,David Silva,Manchester City,84,76,54,82,89,82,94,70,90,72,64,78,52,75,89,92,59
14,N. Kanté,Chelsea,68,65,54,56,79,49,80,82,92,71,77,96,76,69,71,79,90
15,P. Dybala,Juventus,82,84,68,88,92,88,92,87,85,82,75,80,65,88,84,87,23
16,H. Kane,Tottenham Hotspur,75,94,85,84,80,78,84,68,71,88,78,89,84,85,93,80,56
17,A. Griezmann,Atlético Madrid,82,90,84,87,88,84,90,88,80,80,90,83,62,82,91,83,59
18,M. ter Stegen,FC Barcelona,15,14,11,14,17,18,18,38,43,22,79,35,79,10,11,69,25
19,T. Courtois,Real Madrid,14,14,13,12,13,19,23,46,45,36,68,38,70,17,13,44,20
20,Sergio Busquets,FC Barcelona,62,67,68,44,80,66,88,50,52,61,66,86,77,54,77,87,90
21,E. Cavani,Paris Saint-Germain,70,89,89,90,80,77,82,75,59,87,88,92,78,79,93,77,52
22,M. Neuer,FC Bayern München,15,13,25,11,30,14,48,54,35,25,77,43,80,16,12,70,17
23,S. Agüero,Manchester City,70,93,77,85,89,82,89,88,91,88,81,76,73,83,92,83,30
24,G. Chiellini,Juventus,58,33,83,45,58,60,57,63,55,78,89,65,89,49,28,50,93
25,K. Mbappé,Paris Saint-Germain,77,88,77,78,90,77,91,96,83,79,75,83,71,78,88,82,34
26,M. Salah,Liverpool,78,90,59,73,89,83,88,94,88,77,68,84,70,83,90,82,38
27,Casemiro,Real Madrid,52,59,76,53,69,59,78,59,66,86,88,87,89,79,69,77,88
28,J. Rodríguez,FC Bayern München,90,83,62,90,85,89,90,73,76,86,54,70,68,92,80,89,52
29,L. Insigne,Napoli,86,77,56,74,90,87,93,94,93,75,53,75,44,84,83,87,51
30,Isco,Real Madrid,75,79,55,65,94,88,95,75,90,69,64,70,59,87,78,89,60
31,C. Eriksen,Tottenham Hotspur,88,80,52,77,84,86,91,75,81,84,50,92,58,89,83,91,59
32,Coutinho,FC Barcelona,79,79,48,75,91,91,92,89,93,83,59,79,61,93,84,90,55
